['Cl[Cu]O[Cu]O[Cu]Cl'], 0.0
['[Dy]1[Dy]2[O]345671[Dy]2([Dy]5)[Dy]7([Dy]4)[Dy]6[Dy]3', '[Dy]1[Dy][O]2341([Dy][Dy]2)([Dy][Dy]3)[Dy][Dy]4', '[Dy]1[Dy][O]23451([Dy][Dy]2)[Dy][Dy]5[Dy]4[Dy]3', '[Dy]1[Dy][O]234561[Dy][Dy]5[Dy]6([Dy]3)[Dy]4[Dy]2'], 0.162227602905569
['[Fe]', '[Ni]'], 0.16464891041162227
['[O][Mo]1234O[Mo]567([O])O[Mo]8(O1)([O])[O]1[Zn]9[O]6[Mo]6%107([O]5[Zn]5[O]3[Mo]374([O]2[Zn]2[O]8[Mo]41([O])O[Mo]18%11([O]9[Mo]91(O6)(O[Mo]1([O]5[Mo]5(O7)(O[Mo]67(O3)([O]2[Mo]6([O]7[Zn]([O]15)[O]%119)(O4)([O])O8)[O])[O])(O%10)[O])[O])[O])[O])[O]'], 0.16707021791767554
['I[Cu]1[S]2[Cu]3[W]4562[S]1[Cu]4[S]6[Cu]([S]35)I'], 0.16949152542372883
['Cl[Cu]', '[Cu]'], 0.1719128329297821
['[Li]'], 0.17433414043583537
['[OH2][Zn][Zn][OH2]'], 0.17675544794188863
['[Cd]', '[O][Cd]'], 0.1791767554479419
['[O][Cu][Cu][O]', '[O][O]12[Cu]34([O]51([O]23[O]45)[O])([O])[O]([Cu]123([O])[O]4[O]51([O]24[O]35[O])[O])[Cu]123([O])[O]4[O]51([O]24[O]35[O])[O]'], 0.18159806295399517
['[Cu][Cu]', '[O][Cu][Cu]'], 0.18401937046004843
['[Ag]', '[OH2][Ag][OH2]'], 0.1864406779661017
['[Ag]', '[Fe]'], 0.18886198547215496
['[Ag]', '[Co]'], 0.19128329297820823
['[O][Mn]', '[O][Mn]Cl'], 0.19370460048426152
['Cl[Cd]', '[Cd]'], 0.1961259079903148
['[OH2][Ni]'], 0.19854721549636806
['[Cd]', '[O][Cd]Cl'], 0.20096852300242132
['Cl[Mn]', '[Mn]'], 0.2033898305084746
['[Cd]', '[O][Cu]'], 0.20581113801452786
['[Mn]', '[O][Ni]([O])([O])[O]', '[O][Ni][O]'], 0.20823244552058112
['[In]', '[Zn][Zn][Zn][Zn]'], 0.2106537530266344
['[Ba]'], 0.21307506053268765
['[O][Ho]12([O])[OH]3[Ho]4([OH]2[Ho]2([OH]1[Ho]3([OH]42)([O])[O])([O])[O])([O])[O]'], 0.21549636803874092
['[O][Zn]O[Zn]'], 0.2179176755447942
['[Cd]', '[Cd][Cd]'], 0.22033898305084748
['[O][Ni]O[W]123O[W]45([O])O[W]67([O])O[W]89(O[W](O1)(O4)([O])O[W]1(O[W]4(O2)([O])O[W]2(O1)([O])O[W]1(O[W](O3)(O4)([O])O[W](O5)(O7)([O])O1)([O])O[W](O6)(O8)(O2)O[Ni][O])(O9)[O])[O]'], 0.22276029055690075
['[Co]', '[In]'], 0.225181598062954
['[In][O]([In])[In]', '[O][Zn]'], 0.22760290556900728
['[O][Tb][OH2]'], 0.23002421307506055
['[O][Zr]123([O])[O]4[Zr]56([O]3[Zr]37([O]2[Zr]28([O]1[Zr]14([O]6[Zr]([O]53)([O]21)([O]78)([O])[O])([O])[O])([O])[O])([O])[O])([O])[O]'], 0.2324455205811138
['[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43'], 0.23486682808716708
