hxl, 0.0
sql,rtl, 0.7058823529411765
hfp, 0.7104072398190046
rtl,kgd, 0.7149321266968326
eta, 0.7194570135746607
sod,kgm, 0.7239819004524888
bcu,eft, 0.7285067873303168
sql,rna, 0.7330316742081449
tsg,rna, 0.7375565610859729
ggl, 0.7420814479638009
sql,ggl, 0.746606334841629
pto,ggl, 0.7511312217194571
reo-e, 0.7556561085972852
dia-f, 0.7601809954751132
cem-d,vcs, 0.7647058823529412
pts,dia, 0.7692307692307693
tsa, 0.7737556561085973
dmd,nof, 0.7782805429864255
snz, 0.7828054298642535
sow, 0.7873303167420815
nia-d, 0.7918552036199096
bor,boe, 0.7963800904977376
ssa,sty, 0.8009049773755657
bey, 0.8054298642533937
fzh, 0.8099547511312218
dmp, 0.8144796380090499
shp,agw, 0.8190045248868779
dag, 0.823529411764706
sql,sod, 0.828054298642534
gra, 0.832579185520362
srs,pcu, 0.8371040723981901
acs,sql, 0.8416289592760182
acs,hcb, 0.8461538461538463
dia,hxl, 0.8506787330316743
lcy, 0.8552036199095023
mcm, 0.8597285067873304
ant, 0.8642533936651584
cpf, 0.8687782805429864
pcu,cpf, 0.8733031674208146
cpc, 0.8778280542986426
uni, 0.8823529411764707
sit, 0.8868778280542987
reo,lim, 0.8914027149321267
hww, 0.8959276018099548
lvt,tty, 0.9004524886877829
seh, 0.904977375565611
pcu,ggl, 0.909502262443439
bnn, 0.914027149321267
pcu,tfl, 0.9185520361990951
neb,tfl, 0.9230769230769231
pth, 0.9276018099547512
vcs, 0.9321266968325793
flu,tfj, 0.9366515837104074
pcu,ths, 0.9411764705882354
sqp, 0.9457013574660634
tfu, 0.9502262443438915
tfz-d,pcu, 0.9547511312217195
kgd,rtl, 0.9592760180995475
flu,hcb, 0.9638009049773757
spn, 0.9683257918552037
hcb,bex, 0.9728506787330318
sql,iab, 0.9773755656108598
fet, 0.9819004524886878
ins, 0.9864253393665159
nbo,fog, 0.990950226244344
sni, 0.9954751131221721
jea,hcb, 1.0
