cifname,mofid,mofkey,simples_nodes,simples_linkers,simples,topology,cat
7110066,CN1[CH]C=C(C(=C1C)[O])[O].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].[Zn] MOFid-v1.sql.cat0,Zn.LAYXJSROUJZEPO.WIOZZYWDYUOMAY.MOFkey-v1.sql,['[Zn]'],"['CN1[CH]C=C(C(=C1C)[O])[O]', '[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-]']",CN1[CH]C=C(C(=C1C)[O])[O].[O-]C(=O)c1cc(N)c(cc1N)C(=O)[O-].[Zn],sql,0.0
7110082,[CH](Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].[Zn][Zn] MOFid-v1.kgm.cat1,Cu.NBDAHKQJXVLAID.MOFkey-v1.kgm,"['[Zn]', '[Zn][Zn]']","['[CH](Cc1ccncc1)Cc1ccncc1', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-]']",[CH](Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].[Zn][Zn],kgm,1.0
7110105,"[C]#[C].[C].[O].[O].[O].[O].[C][C][O].[C]#[C].[C].[O].[O].[O].[C][C][O].[C]#[C].[O].[O].[O].[Er].[O]P([O])[O].[O][C]([O])[O].[C]#[C].[O].[O][C][O].[C]#[C].[C].[O].[O] MOFid-v1.shp,ceg.cat0",Cu.XQTGGCTZJPMOOE.MOFkey-v1.shp,['[Er]'],"['[C]#[C].[C].[O].[O].[O].[O]', '[C][C][O].[C]#[C].[C].[O].[O].[O]', '[C][C][O].[C]#[C].[O].[O].[O]', '[O]P([O])[O]', '[O][C]([O])[O].[C]#[C].[O]', '[O][C][O].[C]#[C].[C].[O].[O]']",[C]#[C].[C].[O].[O].[O].[O].[C][C][O].[C]#[C].[C].[O].[O].[O].[C][C][O].[C]#[C].[O].[O].[O].[Er].[O]P([O])[O].[O][C]([O])[O].[C]#[C].[O].[O][C][O].[C]#[C].[C].[O].[O],"shp,ceg",0.0
7110106,[OH4][Y].[OH5][Y].[O]P(=O)([CH]P(=O)([O])[O])[O].[Y] MOFid-v1.sql.cat0,Y.NLTNCZWPPNHPPE.MOFkey-v1.sql,"['[OH4][Y]', '[OH5][Y]', '[Y]']",['[O]P(=O)([CH]P(=O)([O])[O])[O]'],[OH4][Y].[OH5][Y].[O]P(=O)([CH]P(=O)([O])[O])[O].[Y],sql,0.0
7110109,[Er].[O]P(=O)([CH]P(=O)([O])[O])[O] MOFid-v1.hxl.cat0,Er.NLTNCZWPPNHPPE.MOFkey-v1.hxl,['[Er]'],['[O]P(=O)([CH]P(=O)([O])[O])[O]'],[Er].[O]P(=O)([CH]P(=O)([O])[O])[O],hxl,0.0
7110230,[Cu][Cu].[O-]C(=O)c1cccc(c1)c1ccc2c(c1)c(=O)c1c([nH]2)ccc(c1)c1cccc(c1)C(=O)[O-] MOFid-v1.sql.cat0,Cu.AIIAHEIEZDPDBS.MOFkey-v1.sql,['[Cu][Cu]'],['[O-]C(=O)c1cccc(c1)c1ccc2c(c1)c(=O)c1c([nH]2)ccc(c1)c1cccc(c1)C(=O)[O-]'],[Cu][Cu].[O-]C(=O)c1cccc(c1)c1ccc2c(c1)c(=O)c1c([nH]2)ccc(c1)c1cccc(c1)C(=O)[O-],sql,0.0
7111871,[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-].[O][Cu][Cu][O] MOFid-v1.kgd.cat0,NA.MISSING_LINKERS.MOFkey-v1.kgd,['[O][Cu][Cu][O]'],['[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)c1ccc(cc1)C(=O)[O-].[O][Cu][Cu][O],kgd,0.0
7112002,"[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43 MOFid-v1.fcu,sql.cat0",Zr.KVQMUHHSWICEIH.MOFkey-v1.fcu,['[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43'],['[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-]'],[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,"fcu,sql",0.0
7112168,[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Ti] MOFid-v1.hcb.cat1,Ti.YXUXCIBWQAOXRL.MOFkey-v1.hcb,['[Ti]'],['[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-]'],[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-].[Ti],hcb,1.0
7112224,[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-].[OH3][Cu][Cu][OH3] MOFid-v1.pto.cat1,Zn.RXOHFPCZGPKIRD.VKYKSIONXSXAKP.MOFkey-v1.pto,['[OH3][Cu][Cu][OH3]'],['[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-]'],[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])cc(c1)C#Cc1ccc(cc1)C(=O)[O-].[OH3][Cu][Cu][OH3],pto,1.0
